entity,method_cnt,method_post,protocol_1_0,status_major,status_404,status_499,status_cnt,path_same,path_xmlrpc,ua_cnt,has_payload,bytes_avg,bytes_std,cluster_kmeans,cluster_dbscan,pca_1,pca_2,cluster,tsne-2d-one,tsne-2d-two
146.235.214.183,0.6666666666666666,0.5,False,0.0,0.0,False,0.16666666666666666,0.5,0.0,0.0,True,4.076001656772393e-06,1.7105988866602054e-07,1,0,0.21798521334917295,-0.09688206640137764,2,18.655205,-16.85266
198.235.24.161,0.3333333333333333,0.0,True,0.0,0.0,False,0.0,1.0,0.0,0.0,True,1.6630086759631365e-05,0.0,0,2,-0.5899068253681834,0.737946966173632,3,-21.095078,39.35136
165.227.236.254,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,True,4.510775166828115e-06,0.0,1,0,0.683651796578608,0.11983978730103151,4,41.847176,8.330199
50.3.85.30,0.3333333333333333,0.0,False,0.0,0.0,False,0.16666666666666666,0.3333333333333333,0.0,0.0,True,6.594064902511782e-06,1.1591770696206066e-06,1,0,0.36415664764748185,0.004144939964603093,1,8.745081,19.501503
138.255.149.58,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.07692307692307693,True,1.6630086759631365e-05,0.0,0,0,-0.27826262618754927,-0.21070878796491294,1,6.9870367,-37.34696
43.245.87.52,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.07692307692307693,True,1.6630086759631365e-05,0.0,0,0,-0.27826262618754927,-0.21070878796491294,1,4.191302,-40.099262
35.203.211.151,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.0,True,1.6630086759631365e-05,0.0,0,0,-0.2800283571061838,-0.20805967507623133,1,-16.976067,-37.00195
142.163.137.201,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.0,True,1.6630086759631365e-05,0.0,0,0,-0.2800283571061838,-0.20805967507623133,1,-16.976067,-37.00195
64.66.18.27,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.07692307692307693,True,1.6630086759631365e-05,0.0,0,0,-0.27826262618754927,-0.21070878796491294,1,2.2748497,-38.14457
171.67.70.84,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.0,True,1.0760644373879118e-05,0.0,0,0,-0.28002838856988627,-0.2080596832810643,1,-40.565742,-15.925442
198.235.24.89,0.3333333333333333,0.0,True,0.0,0.0,False,0.0,1.0,0.0,0.0,True,1.6630086759631365e-05,0.0,0,2,-0.5899068253681834,0.737946966173632,3,-21.095078,39.35136
65.49.1.42,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.0,0.0,True,4.510775166828115e-06,0.0,1,0,0.683651796578608,0.11983978730103151,4,36.405872,8.015083
216.218.206.66,0.3333333333333333,0.0,False,0.0,0.0,False,0.16666666666666666,0.3333333333333333,0.0,0.07692307692307693,True,6.5850071210522886e-06,1.193796962257522e-06,1,0,0.3659223787115522,0.0014958271023729063,1,13.499728,23.320463
93.95.27.177,0.6666666666666666,0.25,False,0.0,0.0,False,0.16666666666666666,0.25,0.0,0.0,True,3.858614901744532e-06,1.4814220915331156e-07,1,0,0.43362300170733836,-0.004149795742749082,2,16.827188,-8.187787
52.200.22.20,1.0,0.05,False,0.0,0.0,False,0.33333333333333337,0.1,0.0,0.0,True,3.5026440903864103e-06,3.248079872165403e-07,1,0,0.5520047472384866,0.04196278584944767,-1,13.651962,-0.24700111
170.130.204.114,0.3333333333333333,0.0,False,0.0,0.0,False,0.16666666666666666,0.3333333333333333,0.0,0.07692307692307693,True,6.594064902511782e-06,1.1591770696206066e-06,1,0,0.3659223785661163,0.001495827075921459,1,12.2308855,23.946753
34.140.248.32,0.3333333333333333,0.0,False,0.0,0.0,False,0.0,1.0,0.0,0.0,True,1.3477978811727381e-05,2.734130817696584e-06,0,0,-0.28002835868278547,-0.2080596763935354,1,-35.875202,-21.159077
118.123.105.93,0.3333333333333333,0.0,True,0.0,0.0,False,0.16666666666666666,0.25,0.0,0.07692307692307693,True,8.172383321828649e-06,1.921219274957009e-06,1,2,0.13409294695317187,0.9732735351159159,3,-5.0758767,45.244583
